tenure,monthly_charges,total_charges,support_calls,data_usage_gb,contract_type,payment_method,internet_service,paperless_billing,is_senior,churned
55,54.41,3133.46,4,34.68,month-to-month,credit_card,fiber,1,0,1
24,29.68,858.72,7,57.14,month-to-month,bank_transfer,fiber,0,0,0
47,114.73,5855.59,6,0.46,two-year,bank_transfer,dsl,1,0,0
29,60.5,1831.89,3,9.0,month-to-month,mailed_check,dsl,1,0,0
26,100.9,2696.1,1,11.83,two-year,bank_transfer,none,0,0,0
63,117.44,7504.32,10,15.26,one-year,electronic_check,none,1,0,1
6,28.07,17.08,3,14.54,month-to-month,mailed_check,dsl,1,0,1
53,85.17,4447.42,1,5.58,month-to-month,electronic_check,dsl,1,0,0
53,107.14,5602.49,3,57.9,month-to-month,credit_card,dsl,0,0,0
27,83.42,2349.48,9,14.96,two-year,electronic_check,fiber,1,0,1
18,62.9,1106.07,2,24.79,one-year,bank_transfer,dsl,0,0,1
0,63.11,20.73,10,25.33,one-year,bank_transfer,fiber,0,0,1
67,23.59,1743.65,5,4.42,month-to-month,mailed_check,dsl,0,0,0
68,73.46,5124.75,9,13.44,month-to-month,credit_card,dsl,1,1,1
17,119.35,2004.69,7,29.64,month-to-month,bank_transfer,dsl,0,0,1
2,115.87,131.24,0,44.33,one-year,credit_card,fiber,1,0,1
8,24.04,362.61,5,13.66,month-to-month,credit_card,dsl,1,0,0
4,90.58,478.4,4,5.28,month-to-month,electronic_check,fiber,0,0,1
59,50.18,2719.68,2,11.03,month-to-month,electronic_check,fiber,1,1,1
64,110.3,7012.23,6,13.2,month-to-month,electronic_check,fiber,1,0,0
11,24.51,294.44,1,12.81,one-year,bank_transfer,dsl,0,0,1
53,113.59,6137.09,7,8.45,one-year,credit_card,fiber,1,0,1
12,103.75,1381.52,9,4.75,two-year,bank_transfer,dsl,1,0,1
26,31.75,868.09,1,6.69,month-to-month,bank_transfer,fiber,1,0,1
43,25.98,1204.93,5,11.11,one-year,electronic_check,fiber,1,0,1
51,103.47,5286.59,7,29.3,month-to-month,electronic_check,none,1,0,1
62,35.58,2104.88,0,37.24,two-year,mailed_check,none,1,0,0
3,73.49,181.28,4,19.16,one-year,electronic_check,fiber,0,0,1
14,111.57,1564.83,2,6.86,month-to-month,bank_transfer,none,0,0,0
20,76.74,1529.6,0,11.63,two-year,electronic_check,dsl,1,0,0
22,59.72,1031.0,8,2.16,month-to-month,electronic_check,fiber,0,0,1
71,64.5,4519.88,4,44.9,month-to-month,mailed_check,dsl,0,0,0
55,26.31,1455.48,8,10.2,month-to-month,bank_transfer,dsl,0,0,0
23,116.88,2646.03,6,23.34,month-to-month,electronic_check,fiber,1,0,1
69,51.07,3486.81,9,35.5,two-year,bank_transfer,fiber,1,0,0
35,38.94,1436.1,10,53.25,one-year,electronic_check,fiber,0,1,0
36,48.6,1587.76,6,31.55,one-year,mailed_check,fiber,0,0,0
31,116.44,3365.43,3,12.75,two-year,mailed_check,fiber,0,0,1
10,29.43,242.07,4,25.6,one-year,credit_card,none,0,0,0
67,106.73,7265.53,9,51.97,month-to-month,credit_card,fiber,1,0,1
1,90.78,343.91,4,10.12,month-to-month,electronic_check,fiber,0,0,1
12,103.0,1353.32,5,4.51,month-to-month,electronic_check,dsl,1,0,1
16,117.59,1661.2,2,8.5,two-year,mailed_check,fiber,0,0,1
20,104.22,2049.54,10,24.41,two-year,bank_transfer,fiber,0,1,1
9,114.34,1067.56,7,13.01,one-year,electronic_check,none,1,1,0
1,32.69,59.33,3,16.47,month-to-month,electronic_check,dsl,0,0,0
48,99.58,4860.74,6,27.36,month-to-month,credit_card,dsl,0,0,0
69,74.57,5007.77,4,8.34,two-year,credit_card,dsl,0,0,0
8,74.35,604.54,1,15.85,month-to-month,electronic_check,dsl,1,1,1
21,109.89,2370.74,9,11.47,one-year,credit_card,fiber,0,0,1
36,117.18,4342.33,9,50.6,month-to-month,electronic_check,dsl,1,0,1
66,90.48,5850.82,9,30.88,month-to-month,electronic_check,dsl,1,0,1
49,68.29,3294.44,4,13.08,one-year,bank_transfer,fiber,1,0,0
55,65.64,3204.63,2,12.5,two-year,credit_card,fiber,1,0,0
41,58.63,2310.61,0,54.4,one-year,mailed_check,dsl,1,0,0
30,56.16,1606.14,8,51.51,month-to-month,electronic_check,fiber,1,0,1
14,59.15,675.16,3,24.29,month-to-month,electronic_check,fiber,1,0,1
62,28.98,1821.6,9,17.05,two-year,electronic_check,none,1,0,0
57,27.74,1572.79,9,5.68,one-year,electronic_check,fiber,1,0,0
1,97.99,0.0,1,8.57,month-to-month,mailed_check,none,0,0,1
51,64.61,3327.44,10,5.27,one-year,electronic_check,dsl,1,0,1
6,113.07,539.17,1,36.46,month-to-month,bank_transfer,fiber,0,0,1
53,81.22,4377.51,5,5.77,month-to-month,credit_card,fiber,1,0,0
59,23.52,1195.4,5,12.37,two-year,credit_card,fiber,0,0,0
9,35.75,326.25,10,2.7,one-year,electronic_check,fiber,0,0,0
31,40.58,1215.51,7,4.06,month-to-month,bank_transfer,dsl,0,0,1
8,117.57,986.03,9,28.24,month-to-month,electronic_check,dsl,0,0,1
40,41.87,1693.5,6,21.69,two-year,mailed_check,fiber,0,0,0
66,71.58,4686.01,9,17.52,one-year,bank_transfer,fiber,0,0,0
5,113.62,337.66,9,12.56,one-year,credit_card,dsl,1,1,1
28,117.72,3074.58,9,3.52,month-to-month,electronic_check,fiber,0,0,1
70,43.64,2967.22,4,11.23,two-year,credit_card,fiber,1,0,0
21,24.91,521.87,4,15.13,two-year,electronic_check,fiber,1,0,1
9,35.36,227.0,10,26.92,month-to-month,bank_transfer,dsl,0,0,1
35,26.33,1015.33,8,35.11,month-to-month,bank_transfer,fiber,0,1,0
36,39.51,1380.48,10,28.86,one-year,electronic_check,fiber,0,0,0
47,76.86,3467.67,6,21.6,two-year,bank_transfer,fiber,0,0,0
22,111.24,2405.57,10,17.32,one-year,bank_transfer,fiber,1,0,1
68,73.72,5046.84,7,20.07,two-year,credit_card,fiber,1,0,0
37,82.6,3104.93,8,10.62,one-year,bank_transfer,dsl,1,0,0
20,40.19,1085.56,1,18.46,month-to-month,mailed_check,none,0,0,1
69,100.06,6803.8,6,15.06,month-to-month,credit_card,dsl,1,0,0
66,81.78,5386.46,8,68.99,two-year,bank_transfer,fiber,0,1,0
35,106.41,3788.27,8,20.45,month-to-month,credit_card,fiber,1,0,1
1,114.88,111.37,10,1.95,month-to-month,bank_transfer,fiber,1,0,1
42,54.79,2226.09,3,12.03,one-year,credit_card,fiber,0,0,1
39,29.06,900.95,3,13.79,month-to-month,electronic_check,dsl,1,0,0
10,42.59,349.27,10,31.6,two-year,credit_card,fiber,1,0,0
45,63.78,2709.04,10,22.38,month-to-month,electronic_check,fiber,1,0,1
60,114.57,6615.21,1,21.57,month-to-month,credit_card,dsl,0,1,0
7,57.83,285.46,4,41.66,month-to-month,bank_transfer,dsl,1,0,1
52,97.08,4891.1,10,51.67,one-year,credit_card,none,0,0,0
10,74.05,828.07,2,28.21,one-year,electronic_check,dsl,0,0,1
53,38.28,2119.0,8,12.78,month-to-month,mailed_check,dsl,1,0,1
30,52.07,1426.52,1,13.1,month-to-month,credit_card,dsl,0,0,0
0,85.32,0.0,1,38.13,month-to-month,mailed_check,fiber,0,0,1
69,87.29,5744.27,8,13.06,one-year,bank_transfer,fiber,1,0,1
11,63.48,624.13,6,16.44,two-year,electronic_check,fiber,0,0,1
42,42.86,1859.97,6,11.82,one-year,electronic_check,fiber,1,0,1
13,92.19,1322.21,9,6.75,month-to-month,credit_card,dsl,1,0,0
67,36.89,2364.67,3,65.52,one-year,bank_transfer,fiber,0,0,0
53,113.67,6182.29,5,16.53,month-to-month,credit_card,dsl,1,0,0
57,38.79,1983.68,6,45.66,month-to-month,electronic_check,fiber,1,1,0
31,30.73,765.49,8,13.21,month-to-month,bank_transfer,dsl,1,0,1
33,69.76,2408.53,3,10.19,month-to-month,mailed_check,dsl,1,0,1
45,71.95,3488.42,6,26.56,month-to-month,credit_card,fiber,1,1,0
56,70.82,4039.93,4,35.01,one-year,mailed_check,dsl,1,0,1
60,63.67,3814.15,5,36.55,month-to-month,credit_card,fiber,0,0,0
1,119.48,0.0,9,14.97,one-year,electronic_check,fiber,0,0,1
47,68.63,2922.24,4,28.53,two-year,bank_transfer,none,1,1,0
7,67.79,493.94,7,11.14,one-year,credit_card,dsl,1,0,0
20,62.18,1189.89,10,18.28,month-to-month,credit_card,fiber,1,0,0
59,26.68,1408.24,8,13.86,one-year,electronic_check,fiber,0,0,0
18,79.3,1437.23,10,12.24,month-to-month,credit_card,dsl,1,0,1
57,42.8,2456.87,6,18.85,month-to-month,electronic_check,fiber,0,0,1
33,83.76,2905.74,3,6.59,month-to-month,mailed_check,fiber,0,1,0
16,25.08,421.77,10,33.08,two-year,bank_transfer,fiber,1,0,0
24,118.14,3019.62,7,12.28,two-year,credit_card,none,0,0,1
38,66.9,2543.4,2,32.01,two-year,credit_card,fiber,1,0,0
55,109.68,6015.1,3,7.92,one-year,credit_card,dsl,0,1,1
43,67.56,3064.73,2,12.25,month-to-month,bank_transfer,none,1,0,0
67,26.03,1597.24,9,6.57,two-year,electronic_check,dsl,1,0,0
62,102.22,6759.81,1,6.34,two-year,credit_card,fiber,0,0,0
54,84.82,4636.57,8,8.88,month-to-month,credit_card,fiber,1,0,0
43,98.18,4278.86,6,8.03,two-year,electronic_check,fiber,1,0,1
20,62.82,1335.16,0,6.62,two-year,bank_transfer,none,0,0,0
29,83.79,2711.48,6,17.36,month-to-month,electronic_check,dsl,1,0,1
8,105.62,963.84,8,26.2,month-to-month,mailed_check,fiber,1,0,1
26,83.11,1920.1,7,27.17,month-to-month,credit_card,dsl,0,0,0
66,54.77,3825.34,5,3.24,one-year,bank_transfer,fiber,1,0,0
30,86.25,2536.37,3,13.79,month-to-month,electronic_check,fiber,0,0,1
8,87.19,713.59,1,12.73,month-to-month,electronic_check,dsl,0,0,1
46,116.06,5146.87,0,42.16,one-year,electronic_check,fiber,0,0,0
69,57.09,4018.14,3,14.21,two-year,electronic_check,fiber,1,0,0
62,62.51,3777.91,6,16.28,two-year,bank_transfer,fiber,1,0,0
19,101.21,1938.02,0,4.61,one-year,bank_transfer,none,0,0,0
32,70.58,2215.95,10,8.68,month-to-month,electronic_check,fiber,0,0,0
38,93.66,3847.83,6,4.33,month-to-month,electronic_check,fiber,0,1,1
17,65.97,1418.83,3,18.2,one-year,electronic_check,dsl,1,0,0
19,41.55,796.43,10,43.05,month-to-month,bank_transfer,dsl,0,0,0
17,94.52,1616.44,2,8.94,one-year,electronic_check,dsl,0,0,0
71,33.12,2295.5,10,14.3,two-year,credit_card,dsl,0,0,0
53,39.86,2278.48,3,8.08,one-year,credit_card,dsl,1,0,0
60,82.68,4911.46,4,10.42,one-year,bank_transfer,fiber,1,1,0
58,94.73,5431.14,4,18.49,one-year,credit_card,fiber,1,0,0
69,109.47,7700.22,10,56.8,two-year,electronic_check,dsl,0,0,0
7,47.26,250.08,2,41.64,month-to-month,credit_card,fiber,1,0,1
63,31.07,1951.75,10,49.92,month-to-month,electronic_check,none,1,0,0
4,115.6,225.2,3,32.21,month-to-month,bank_transfer,dsl,1,0,1
34,35.44,1310.59,3,14.16,one-year,credit_card,fiber,0,0,0
42,39.77,1961.47,7,12.67,month-to-month,credit_card,dsl,0,1,1
25,49.13,1336.43,7,8.99,month-to-month,bank_transfer,fiber,1,0,1
10,72.94,948.67,3,13.98,one-year,electronic_check,fiber,0,0,0
13,108.28,1280.72,1,43.46,month-to-month,bank_transfer,dsl,1,0,0
59,96.05,5702.4,4,43.13,one-year,credit_card,dsl,0,0,1
22,90.82,1856.57,5,70.73,month-to-month,credit_card,fiber,0,1,1
22,37.52,791.28,0,19.52,month-to-month,credit_card,dsl,1,0,0
66,55.77,3796.65,0,5.67,month-to-month,credit_card,fiber,0,0,0
10,67.84,693.67,10,25.0,month-to-month,mailed_check,fiber,0,0,1
65,34.74,2046.2,0,57.21,two-year,credit_card,dsl,1,0,0
66,47.34,2927.19,4,47.28,two-year,credit_card,fiber,0,0,0
43,50.83,1978.52,8,11.54,one-year,mailed_check,fiber,1,0,0
11,32.73,433.75,3,6.2,one-year,electronic_check,dsl,0,0,0
11,75.02,1134.8,5,6.04,one-year,bank_transfer,none,1,0,0
20,90.5,2014.37,0,9.49,two-year,electronic_check,fiber,1,0,0
41,26.99,822.19,8,10.74,month-to-month,mailed_check,fiber,0,1,0
11,68.11,962.37,6,13.34,month-to-month,credit_card,dsl,1,0,1
32,98.22,3283.5,9,27.37,one-year,credit_card,dsl,1,1,0
8,94.8,526.61,9,12.98,two-year,mailed_check,fiber,1,1,0
38,101.51,3811.9,3,17.67,month-to-month,electronic_check,fiber,0,1,1
1,64.82,229.15,0,4.03,month-to-month,mailed_check,dsl,1,0,0
51,102.06,5287.63,3,9.0,month-to-month,bank_transfer,fiber,1,0,0
3,44.08,0.0,1,8.65,month-to-month,mailed_check,fiber,1,0,1
14,56.08,876.73,5,3.35,one-year,bank_transfer,dsl,1,0,0
12,37.64,131.05,1,12.72,month-to-month,electronic_check,fiber,1,0,1
59,66.75,3904.83,10,4.06,two-year,mailed_check,fiber,1,0,0
3,59.21,348.32,6,12.01,one-year,credit_card,fiber,1,0,0
30,44.09,1325.46,2,18.71,month-to-month,credit_card,fiber,1,0,1
42,95.18,3922.72,10,43.95,two-year,electronic_check,fiber,1,1,1
37,51.38,2034.46,8,8.27,one-year,electronic_check,none,0,0,1
49,47.28,2462.93,4,18.32,month-to-month,credit_card,fiber,1,1,0
57,33.09,2082.64,1,10.06,month-to-month,mailed_check,dsl,0,0,0
28,63.88,1919.79,3,3.83,two-year,bank_transfer,fiber,1,0,1
59,50.3,3129.91,6,44.29,month-to-month,bank_transfer,none,1,0,0
22,56.93,1362.4,8,19.34,month-to-month,bank_transfer,fiber,1,0,0
70,43.6,3091.83,2,24.1,month-to-month,mailed_check,dsl,0,0,0
36,96.32,3480.95,8,49.13,month-to-month,credit_card,dsl,1,0,0
52,113.0,5840.41,3,11.96,one-year,electronic_check,dsl,0,1,1
63,69.79,4214.91,2,5.4,month-to-month,credit_card,fiber,1,0,0
57,84.3,4661.8,4,8.16,one-year,mailed_check,none,1,0,0
61,106.72,6467.62,1,4.93,month-to-month,electronic_check,fiber,1,0,1
38,119.88,4591.66,4,36.36,two-year,credit_card,dsl,0,0,0
3,81.35,460.17,3,58.66,month-to-month,credit_card,fiber,1,0,1
35,108.98,3808.03,3,18.56,two-year,bank_transfer,dsl,1,0,1
13,110.86,1591.7,8,27.91,two-year,bank_transfer,fiber,1,0,1
64,99.15,6507.5,3,33.14,month-to-month,electronic_check,dsl,1,0,1
17,66.09,1088.81,7,51.3,one-year,electronic_check,fiber,1,0,0
16,28.12,539.12,7,57.07,month-to-month,bank_transfer,fiber,0,0,1
17,21.58,330.33,7,2.53,two-year,electronic_check,dsl,0,0,0
46,67.72,3313.44,2,10.3,one-year,bank_transfer,dsl,1,0,1
41,69.43,2942.01,9,17.01,month-to-month,credit_card,fiber,1,0,0
68,60.74,3951.75,2,9.26,month-to-month,credit_card,dsl,0,0,0
29,76.82,2252.01,3,13.61,month-to-month,bank_transfer,fiber,1,1,1
20,75.22,1751.62,9,23.0,two-year,electronic_check,dsl,0,0,1
3,103.66,283.8,3,22.55,one-year,credit_card,dsl,0,1,0
0,30.87,67.16,7,32.41,month-to-month,electronic_check,dsl,1,0,1
26,42.52,1187.4,0,17.3,month-to-month,credit_card,fiber,1,0,1
66,99.3,6398.31,6,1.16,month-to-month,electronic_check,fiber,1,0,0
37,104.78,3953.47,9,12.72,one-year,credit_card,dsl,0,0,0
64,119.48,7437.64,7,21.4,month-to-month,bank_transfer,fiber,1,0,0
7,107.29,657.19,6,34.0,month-to-month,credit_card,dsl,1,0,0
6,108.99,815.3,9,30.72,two-year,bank_transfer,fiber,1,0,1
60,51.43,3139.31,3,15.56,month-to-month,credit_card,dsl,0,0,0
7,60.17,375.52,4,9.74,one-year,bank_transfer,none,1,0,1
3,46.81,207.4,0,16.13,month-to-month,electronic_check,dsl,0,0,0
29,80.63,2329.26,7,3.01,month-to-month,credit_card,fiber,1,0,1
66,113.88,7517.97,7,10.56,one-year,electronic_check,fiber,1,1,1
49,54.46,2767.06,8,38.34,month-to-month,electronic_check,fiber,0,0,0
7,75.7,420.79,8,16.09,month-to-month,bank_transfer,fiber,0,0,1
60,49.63,2983.85,1,22.07,two-year,electronic_check,dsl,1,0,0
60,36.98,2171.96,7,4.72,two-year,bank_transfer,fiber,1,0,0
57,39.52,2014.8,8,33.85,one-year,electronic_check,fiber,0,0,1
64,25.79,1512.49,2,14.95,month-to-month,electronic_check,fiber,0,0,0
17,114.93,2189.04,5,21.53,month-to-month,electronic_check,fiber,1,1,0
70,60.29,4278.01,10,25.01,month-to-month,credit_card,fiber,0,1,1
23,103.41,2179.89,4,33.0,two-year,electronic_check,fiber,1,0,0
57,88.13,4792.36,8,19.19,two-year,credit_card,fiber,1,1,0
41,39.19,1589.97,5,15.23,month-to-month,bank_transfer,fiber,0,0,0
56,37.55,2336.98,7,5.83,two-year,credit_card,fiber,1,1,0
45,101.2,4525.99,6,4.29,month-to-month,credit_card,fiber,1,0,1
46,46.47,2333.67,7,18.9,one-year,electronic_check,fiber,1,1,1
44,111.33,4951.31,8,21.63,month-to-month,mailed_check,fiber,1,0,1
56,34.01,1975.25,9,24.26,month-to-month,credit_card,dsl,0,0,1
53,87.77,4451.45,3,8.31,two-year,electronic_check,fiber,0,1,0
9,101.45,1053.68,10,10.64,two-year,electronic_check,fiber,1,0,1
59,43.53,2518.03,6,18.65,month-to-month,mailed_check,dsl,1,0,1
38,47.62,1939.02,6,11.78,month-to-month,electronic_check,fiber,0,0,0
23,116.45,2556.22,3,74.53,one-year,credit_card,dsl,0,0,0
37,46.46,1745.58,4,10.45,month-to-month,credit_card,dsl,1,0,0
69,63.0,4399.8,7,22.71,one-year,electronic_check,fiber,0,0,1
61,63.25,3835.15,4,30.08,one-year,credit_card,fiber,1,0,0
60,45.3,2778.68,3,31.37,month-to-month,mailed_check,fiber,1,0,0
33,97.58,3180.18,9,11.61,month-to-month,mailed_check,dsl,0,0,0
56,97.18,5344.72,4,25.1,month-to-month,mailed_check,fiber,1,0,1
27,57.83,1802.23,7,22.94,two-year,credit_card,dsl,0,0,1
49,103.51,5229.33,0,25.87,month-to-month,electronic_check,none,1,0,0
46,41.31,1786.13,0,18.47,one-year,electronic_check,dsl,1,0,0
17,20.43,432.58,9,30.23,month-to-month,credit_card,fiber,1,1,1
19,77.12,1353.88,1,20.13,one-year,credit_card,dsl,1,0,1
4,119.41,299.94,8,5.17,month-to-month,credit_card,dsl,1,0,1
10,23.86,393.67,9,19.69,month-to-month,bank_transfer,fiber,1,1,0
31,40.8,1009.19,5,21.42,one-year,mailed_check,fiber,1,0,0
34,71.89,2583.29,9,28.78,one-year,electronic_check,none,0,0,0
11,100.99,1072.98,4,18.92,month-to-month,credit_card,fiber,1,0,1
30,28.9,835.27,10,52.12,month-to-month,bank_transfer,dsl,1,0,0
43,59.52,2620.82,2,15.64,two-year,credit_card,dsl,0,0,0
16,94.71,1602.54,4,11.12,month-to-month,credit_card,fiber,1,0,1
24,57.15,1247.65,4,41.73,month-to-month,credit_card,dsl,1,0,0
26,38.88,1118.54,8,15.32,month-to-month,electronic_check,none,1,0,1
36,39.55,1440.81,0,17.64,month-to-month,electronic_check,fiber,0,0,0
26,61.0,1397.59,9,21.42,one-year,electronic_check,fiber,1,0,1
53,67.94,3575.34,0,20.14,one-year,mailed_check,fiber,1,0,0
23,106.18,2649.33,3,25.73,month-to-month,credit_card,dsl,0,0,0
31,84.23,2862.62,6,27.62,one-year,electronic_check,fiber,1,0,1
27,89.04,2511.68,1,10.31,month-to-month,credit_card,fiber,1,0,0
13,118.3,1359.35,5,6.3,one-year,bank_transfer,fiber,0,1,1
49,61.18,3071.41,10,7.03,month-to-month,bank_transfer,fiber,1,0,1
16,60.34,1093.07,9,38.7,month-to-month,credit_card,fiber,0,0,1
21,112.33,2467.79,0,14.35,one-year,credit_card,dsl,1,0,0
57,44.59,2659.37,6,29.9,month-to-month,credit_card,fiber,1,0,1
68,92.98,6377.13,6,28.14,month-to-month,credit_card,dsl,1,0,0
48,95.46,4571.22,0,17.63,month-to-month,mailed_check,fiber,1,0,0
65,29.78,1844.44,7,8.2,one-year,credit_card,dsl,0,0,0
61,66.82,3791.33,5,28.62,month-to-month,bank_transfer,fiber,0,0,0
34,40.06,1412.99,7,17.19,one-year,mailed_check,dsl,1,0,0
55,38.54,2147.61,3,5.93,one-year,electronic_check,dsl,0,0,0
23,66.38,1610.38,2,11.86,one-year,bank_transfer,fiber,0,0,1
33,48.94,1414.39,8,3.94,month-to-month,mailed_check,dsl,0,0,1
38,99.61,3881.93,7,12.32,two-year,credit_card,fiber,1,0,0
69,110.76,7950.62,1,18.32,month-to-month,credit_card,dsl,1,0,0
61,100.27,6128.24,2,15.83,two-year,bank_transfer,dsl,0,0,0
35,46.6,1621.75,6,14.42,one-year,bank_transfer,dsl,0,1,0
46,47.41,2227.21,9,18.18,month-to-month,electronic_check,fiber,0,1,0
14,45.47,941.43,2,24.65,one-year,credit_card,dsl,0,1,1
57,33.5,1755.95,2,31.55,month-to-month,electronic_check,dsl,0,0,0
39,114.38,4491.3,8,34.49,month-to-month,electronic_check,fiber,1,0,1
38,60.2,2167.65,7,9.36,month-to-month,mailed_check,fiber,1,0,0
55,42.47,2253.8,9,36.8,one-year,credit_card,fiber,0,0,0
45,104.67,4702.71,8,17.21,one-year,credit_card,dsl,1,0,0
5,59.92,501.7,10,13.2,two-year,mailed_check,fiber,1,0,1
20,23.51,740.35,2,7.22,month-to-month,electronic_check,fiber,0,0,0
12,36.19,501.5,2,23.45,one-year,credit_card,fiber,0,0,1
52,83.93,4307.87,2,22.81,one-year,credit_card,dsl,1,1,1
2,98.29,570.49,0,11.0,one-year,electronic_check,dsl,0,0,1
14,41.09,511.13,8,11.26,month-to-month,electronic_check,fiber,1,0,1
43,111.74,4719.15,7,15.39,month-to-month,electronic_check,dsl,1,0,1
50,105.1,4988.76,0,13.02,one-year,mailed_check,fiber,1,0,0
36,104.84,3983.65,2,9.0,month-to-month,credit_card,dsl,0,1,1
61,42.77,2754.21,2,6.51,month-to-month,credit_card,dsl,0,1,1
66,25.05,2015.97,4,37.08,month-to-month,electronic_check,dsl,1,0,1
9,106.74,752.23,5,11.81,month-to-month,mailed_check,dsl,1,0,1
68,50.58,3658.17,3,22.72,month-to-month,credit_card,fiber,0,0,0
44,81.89,3613.68,10,25.95,month-to-month,electronic_check,dsl,1,0,1
45,96.0,4440.92,2,23.53,one-year,credit_card,fiber,0,0,1
6,32.83,0.0,6,26.94,two-year,credit_card,dsl,1,0,0
44,98.08,4535.73,4,23.34,month-to-month,mailed_check,fiber,1,0,1
52,113.85,6038.18,4,10.15,month-to-month,credit_card,none,1,0,1
41,92.84,3800.6,9,13.61,two-year,credit_card,fiber,1,0,1
6,64.12,481.49,10,36.41,month-to-month,electronic_check,fiber,1,0,1
37,107.67,3868.97,0,11.53,two-year,bank_transfer,fiber,1,0,0
67,72.75,4787.33,5,17.22,one-year,bank_transfer,fiber,0,0,0
52,94.48,4843.44,1,24.72,month-to-month,electronic_check,none,1,0,0
9,102.05,640.54,4,45.5,month-to-month,credit_card,fiber,0,0,0
69,94.94,6680.12,6,34.25,month-to-month,electronic_check,dsl,0,0,0
69,48.79,3545.25,4,7.92,one-year,bank_transfer,fiber,1,0,0
12,31.78,276.16,3,22.2,month-to-month,credit_card,dsl,0,0,0
57,43.83,2550.54,3,20.41,two-year,electronic_check,fiber,0,0,0
29,70.29,1998.58,3,13.7,one-year,bank_transfer,dsl,1,0,0
42,70.53,3011.5,3,17.6,two-year,mailed_check,dsl,0,0,1
32,78.26,2410.18,4,10.07,two-year,mailed_check,fiber,1,0,0
56,59.51,3200.05,7,15.18,month-to-month,electronic_check,fiber,0,0,1
71,98.69,7164.8,1,11.62,month-to-month,bank_transfer,fiber,1,0,0
57,111.32,6335.66,0,18.6,two-year,credit_card,fiber,1,0,0
67,44.67,3296.21,5,13.31,month-to-month,mailed_check,fiber,0,0,0
68,93.65,6375.15,7,47.79,month-to-month,bank_transfer,fiber,1,0,0
6,87.8,387.89,2,19.05,month-to-month,electronic_check,none,0,0,1
18,72.31,1485.62,2,16.46,month-to-month,electronic_check,dsl,0,0,1
51,38.85,2075.97,6,14.57,two-year,credit_card,dsl,0,0,1
42,99.52,4288.87,4,13.34,month-to-month,credit_card,fiber,0,0,0
3,116.06,526.77,8,5.93,one-year,electronic_check,fiber,0,1,1
6,92.18,455.16,1,29.85,two-year,electronic_check,fiber,1,0,0
37,111.79,4117.14,1,41.77,month-to-month,credit_card,dsl,1,0,1
44,118.42,5184.76,6,11.48,one-year,electronic_check,dsl,1,1,1
12,55.21,468.91,4,36.29,month-to-month,electronic_check,dsl,1,1,1
12,83.82,966.3,8,74.05,month-to-month,bank_transfer,fiber,0,0,1
9,67.39,806.97,5,57.31,month-to-month,credit_card,fiber,0,0,1
40,118.66,4782.0,3,40.55,month-to-month,electronic_check,fiber,0,0,1
0,29.38,0.0,1,6.64,month-to-month,electronic_check,dsl,1,0,1
41,61.24,2277.46,1,6.57,month-to-month,mailed_check,dsl,1,1,0
34,107.55,3906.42,8,26.85,month-to-month,credit_card,dsl,0,0,1
33,48.41,1583.98,2,17.35,month-to-month,mailed_check,fiber,0,0,1
48,98.78,4644.33,5,2.35,one-year,electronic_check,fiber,0,0,0
37,58.28,2115.26,8,12.55,month-to-month,electronic_check,dsl,1,0,0
52,118.0,5914.4,9,26.03,two-year,bank_transfer,fiber,1,0,1
55,108.35,6172.71,2,15.35,two-year,credit_card,fiber,1,0,0
66,50.13,3249.62,1,17.42,one-year,bank_transfer,dsl,1,0,1
57,97.02,5735.25,8,6.56,one-year,credit_card,fiber,0,0,0
37,53.69,1994.28,7,12.43,one-year,credit_card,fiber,0,1,0
35,80.64,3036.83,3,26.93,one-year,mailed_check,fiber,1,0,0
16,85.85,1412.1,6,11.95,two-year,credit_card,dsl,1,0,1
43,102.96,4555.26,2,38.25,two-year,mailed_check,dsl,0,0,0
10,22.45,332.36,7,17.71,month-to-month,bank_transfer,fiber,0,0,0
67,42.02,2908.83,8,23.38,one-year,electronic_check,dsl,0,0,1
60,91.19,5523.59,3,26.51,two-year,credit_card,fiber,0,0,0
8,76.35,575.87,5,25.78,month-to-month,electronic_check,fiber,0,0,1
56,69.56,4182.68,3,7.72,month-to-month,electronic_check,fiber,0,1,0
8,25.52,68.12,0,8.94,one-year,mailed_check,fiber,1,0,1
51,54.83,2796.98,1,2.3,one-year,credit_card,dsl,1,1,0
6,106.51,641.29,10,13.57,month-to-month,credit_card,dsl,1,0,1
35,23.09,868.52,5,8.38,month-to-month,mailed_check,dsl,1,0,0
47,59.64,2738.66,1,11.67,month-to-month,credit_card,fiber,1,0,0
52,114.51,6001.73,0,14.67,one-year,electronic_check,fiber,1,1,0
30,25.09,727.37,3,19.43,two-year,credit_card,fiber,0,0,0
66,94.97,6030.73,10,15.52,two-year,credit_card,fiber,0,0,0
55,45.76,2518.23,4,15.31,month-to-month,electronic_check,fiber,0,0,1
14,106.66,1328.16,10,22.1,month-to-month,electronic_check,dsl,1,1,1
48,94.61,4281.12,5,16.86,one-year,electronic_check,dsl,0,0,0
52,108.57,5666.17,8,31.34,one-year,bank_transfer,fiber,0,0,0
24,41.59,1071.34,8,16.9,month-to-month,electronic_check,dsl,1,0,0
53,73.13,3954.89,0,45.68,month-to-month,mailed_check,none,1,0,0
64,97.93,6352.6,0,7.45,month-to-month,credit_card,dsl,1,0,0
